article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
delanda1994	De Landa, Manuel	1994	War in the Age of Intelligent Machines				0
delaney1999	Delaney, Julie	1999	Geographic Information Systems: An Introduction				0
delany1995	Delany, Paul | Landow, George	1995	Hypermedia and Literary Studies				0
delany1991	Delany, Paul | Landow, George	1995	Hypermedia and Literary Studies				0
deleuze1977	Deleuze, Gilles | Guattari, Feliz	1977	Introducción	Rizoma			0
deleuze1986	Deleuze, Gilles	1986	Cinema 1: The Movement-Image				0
deleuze1987	Deleuze, Gilles | Parnet, Claire	1987	Dialogues II				0
deleuze1987a	Deleuze, Gilles | Guattari, Felix	1987	A Thousand Plateaus: Capitalism and Schizophrenia				0
deleuze1993	Deleuze, Gilles	1993	The Fold: Leibniz and the Baroque				0
delillo1985	DeLillo, D.	1985	White Noise				0
denbo2012	Denbo, Seth	2012	Query about citation practise.	Humanist Discussion Group			0
deng2006	Deng, Yonggang | Kumar, Shankar | Byrne, William	2006	Segmentation and Alignment of Parallel Text for Statistical Machine Translation	Natural Language Engineering			0
denham2010	Denham, Robert D.	2010	Poets on Paintings: A Bibliography				0
dennett1993	Dennett, Daniel C.	1993	Consciousness Explained				0
denning1996	Denning, Michael	1996	The Cultural Front				0
denning1997	Denning, Michael	1998	The Decline and Fall of the Lincoln Republic: Dos Passos’s U.S.A.	The Cultural Front: The Laboring of American Culture in the Twentieth Century			0
denning2009	Denning, P.J. | Rosenbloom, P.S.	2009	Computing: The fourth great domain of science	Communications of the ACM			0
depocas2003	Depocas, Alain | Ippolito, Jon | Jones, Caitlin	2003	Permanence Through Change: The Variable Media Approach				0
depreste1984	Depresté, René	1984	Hello and Goodbye to Negritude	Africa in Latin America			0
depreste1984b	Depresté, René	1984	Nicolás Guillén: Orfeo Negro de Cuba	La Gaceta de Cuba			0
derose1999	DeRose, Steven | Van Dam, Andries	1999	Document Structure and Markup in the FRESS Hypertext System,	Markup Languages: Theory and Practice			0
derose1991	DeRose, Steven J.	1991	Biblical Studies and Hypertext.	Hypermedia and Literary Studies			0
derrida1981	Derrida, Jacques	1981	Plato's Pharmacy	Dissemination			0
derrida1982	Derrida, Jacques	1981	Signature Event Context	Margins of Philosophy			0
derrida1991	Derrida, Jacques	1991	Signature, Event, Context	A Derrida Reader: Between the Blinds			0
derrida1995	Derrida, Jacques	1995	Archive Fever				0
descombes1980	Descombes, Vincent	1980	Modern French Philosophy				0
desmedt2002a	de Smedt, Marcel | Vanhoutte, Edward	2002	The Best of Three Worlds: Eclecticism in Editorial Theory	Sichtungen Online			0
desmedt2002b	de Smedt, Koenraad	2002	Some Reflections on Studies in Humanities Computing	Journal of Linguistic and Literary Computing			0
destefanoandlefevre2007	DeStefano, D. | LeFevre, J.	2007	Cognitive load in hypertext reading: A review.	Computers in Human Behavior			0
detienne1978	Detienne, Marcel | Vernant, Jean-Pierre	1978	Cunning Intelligence in Greek Culture and Society				0
deuze2007	Deuze, Mark	2007	Media Work.				0
dhcenter2013	Association for Computers and the Humanitie	2012	Founding Staff for a New DH Center?	Digital Humanities Questions & Answers			0
dhq2010b	Digital Humanities Quarterly	2010	Interactive Media Guidelines				0
diaz2007	Díaz, Junot	2007	The Brief Wondrous Life of Oscar Wao				0
dibbell2001	Dibbell, Julian	2001	Adventure.	Supercade!: A Visual History of the Videogame Age 1971-1984			0
dibbell2002	Dibbell, Jullian	2002	A Marketable Wonder: Spelunking the American Imagination	Topic Magazine.			0
dickens1858	Dickens, Charles	1858	A House to Let				0
dickey1995	Dickey, William	1995	Poem Descending a Staircase: Hypertext and the Simultaneity of Experience	Hypermedia and Literary Studies			0
dickey2007	Dickey, Eleanor	2007	Ancient Greek Scholarship: A Guide to Finding, Reading, and Understanding Scholia, Commentaries, Lexica, and Grammatical Treatises, from Their Beginnings to the Byzantine Period				0
dierking1998	Dierking, Lynn | Falk, John	1998	Audience and Accessibility.	The Virtual and the Real: Media in the Museum			0
dietrich2012	Dietrich, C. | Sayers, J.	2012	After the Document Model for Scholarly Communication: Some Considerations for Authoring with Rich Media	Digital Studies / Le champs numériqe			0
digging2011	Digging into Data Challenge	2011	Requests for Proposals. Digging into Data Challenge, Second Year. Final Version, 16 March 2011.				0
dilauro2005	DiLauro, Tim | Patton, Mark | Reynolds, David | Choudhury, G. Sayeed	2005	The Archive Ingest and Handling Test	D-Lib Magazine			0
dilevko2003	Dilevko, Juris | Gottlieb, Lisa	2003	Resurrecting a Neglected Idea: The Reintroduction of Library-Museum Hybrids.	Library Quarterly			0
diliddo2009	Di Liddo, Annalisa	2009	Alan Moore: Comics as Performance, Fiction as Scalpel				0
dillon1989	Dillon, A. | Richardson, J. | McKnight, C.	1989	The Human factors of journal usage and the design of electronic text	Interacting with Computers			0
dillon2001a	Dillon, Andrew	2001	Beyond Usability: Process, Outcome and Affect in Human-Computer Interactions	Canadian Journal of Library and Information Science			0
dillon2001b	Dillon, L.Y. | Thovaldsen, G.	2001	A Look Into the Future Using and Improving International Microdata for Historical Research	Handbook of International Historical Microdata for Population Research			0
dillon2013	Dillon, Elizabeth Maddock	2013	Our Marathon				0
dimitriadis2006	Dimitriadis, Alexis | Kemps-Snijders, Marc | Wittenburg, Paul | Everaert, Martin | Levinson, Stephen C.	2006	Toward a Linguistic WorkBench Supporting eScience Methods	Proceedings of the Second IEEE International Conference on e-Science and Grid Computing			0
dindorf1875	Dindorf, Willhelm	1875	Scholia Graeca in Homeri Illiadem, Vol 1				0
dionisotti1990	Dionisotti, Arthur C.	1990	Robert Grosseteste and the Greek Encylopaedia	Rencontres de Cultures dans la Philosophie Médiévale			0
diorio2010	D'Iorio, P.	2010	Scholarly Information Management: A Proposal in Connexions				0
disessa2001	diSessa, Andrea	2001	Changing Minds: Computers, Learning, and Literacy				0
diski2011	Diski, Jenny	2011	Short Cuts.	London Review of Books			0
dislocative2010a	Dislocative Meida	2010	Dislocative Media: Transborder Immigration Tool as Aesthetic Sustenance [5/11]				0
dislocative2010b	Dislocative Meida	2010	Dislocative Media: Transborder Immigration Tool as Aesthetic Sustenance [7/11]				0
dixon2007	Dixon, Steve	2007	Digital Performance: A History of New Media in Theatre, Dance, Performance Art and Installation				0
doane2002	Doane, Mary Ann	2002	The Emergence of Cinematic Time: Modernity, Contingency, The Archive				0
doerr2008	Doerr, Martin | Iorizzo, Dolores	2008	The Dream of a Global Knowledge Network -- A New Approach	Journal of Computing and Cultural Heritage			0
dollahite2005	Dollahite, Damian	2005	[GOTW]: All Hope Abandon				0
don2007	Don, Anthony | Zheleva, Elena | Gregory, Machon | Tarkan, Sureyya | Auvil, Loretta | Clement, Tanya | Shneiderman, Ben | Plaisant, Catherine	2007	Discovering Usage Patterns in Text Collections: Integrating Text Mining with Visualization	Proceedings of the Sixteenth ACM Conference on Information and Knowledge Management			0
donahue2002	Donahue, John | Harrington, Daniel	2002	The Gospel of Mark				0
donoghue2008	Donoghue, Frank	2008	The Last Professors: The Corporate University and the Fate of the Humanities				0
dor1998	Dor, J.	1998	Introduction to the Reading of Lacan: The Unconscious Structured Like a Language				0
dospassos1953	Dos Passos, John	1953	Manhattan Transfer				0
dospassos1960	Dos Passos, John	1960	U.S.A.				0
dospassos2000	Dos Passos, John	2000	The 42nd Parallel				0
dospassos2000a	Dos Passos, John	2000	1919				0
dospassos2000b	Dos Passos, John	2000	The Big Money				0
douglas1989	Douglas, J. Yellowlees	1989	Wandering Through the Labyrinth: Encountering Interactive Fiction	Computers and Coposition			0
douglas2000	Douglas, Jane Yellowlees	2000	The End of Books - or Books Without End? Reading Interactive Narratives				0
douglas2003b	Douglas, Fiona M.	2003	The Scottish Corpus of Texts and Speech: Problems of Corpus Design	Literary and Linguistic Computing			0
douglas2004	Douglas, J. Yellowlees | Haradon, Andrew	2004	The Pleasures of Immersion and Interaction: Schemas, Scripts, and the Fifth Business	First Person: New Media as Story, Performance, and Game.			0
douglass2006	Douglass, F.	2006	IF is History! Interactive Fiction in the News	Writer Response Theory			0
douglass2007	Douglass, Jeremy	2007	Enlightening Interactive Fiction: Andrew Plotkin's Shade	Second Person: Role-Playing and Story in Games and Playable Media			0
douglass2007a	Douglass, Jeremy	2007	Command Lines: Aesthetics and Technique in Interactive Fiction and New Media.	UC Santa Barbara			0
douglass2009	Douglass, Jeremy	2009	Cultural Analytics: webcomics and video games	Digital Humanities 2009			0
douglass2010	Douglass, Jeremy	2010	Comments on Comments in Code	Critical Code Studies			0
dourish1992	Dourish, Paul | Bly, Sara	1992	Portholes: Supporting Awareness in a Distributed Work Group	SIGCHI Conference on Human Factors in Computing System (Monterey, CA)			0
dowling2010	Dowling, D.	2010	Chasing the White Whale: The Moby-Dick Marathon; or, What Melville Means Today				0
dowling2011	Dowling, D.	2011	The Business of Literary Circles in Nineteenth Century America				0
downing2000	Downing, F. Gerald	2000	Doing Things with Words in the First Christian Century				0
downing2007	Downing, David	2007	Paranoiac Visions and Neo-Realities in the Recent Cinema: Reflections on Tausk’s 'Influencing Machine in Schizophrenia.'	Psychoanalytic Review			0
dretzin2010	Dretzin, R.	2010	Digital Nation				0
drew2002	Drew, Elizabeth | Haahr, Mads	2002	Lessness: Randomness, Consciousness and Meaning	Consciousness Reframed: The 4th International CAiiA-STAR Research Conference			0
dreyfus2003	Dreyfus, Georges B.J.	2003	The Sound of Two Hands Clapping: The Education of a Tibetan Buddhist Monk				0
droguett1946	Droguett, Carlos	1946	Un Poeta de nuestro Tiempo	Periódico Extra			0
drucker1994	Drucker, Johanna	1994	The Visible Word				0
drucker1996	Drucker, Johanna	1996	The Visible Word: Experimental Typography and Modern Art, 1909-1923				0
drucker1997	Drucker, Johanna	1997	The Visible Word: Experimental Typography and Modern Art, 1909-1923				0
drucker2001	Drucker, Johanna	2001	Digital Ontologies: The Ideality of Form in/and Code Storage-or-Can Graphesis Challenge Mathesis?	Leonardo			0
drucker2002a	Drucker, J.	2002	Intimations of Immateriality: Graphical Form, Textual Sense, and the Electronic Environment.	Reimagining Textuality: Textual Studies in the Late Age of Print			0
drucker2002b	Drucker, J.	2002	Theory as Praxis: The Poetics of Electronic Textuality (review),	Modernism/Modernity			0
drucker2003	Drucker, Johanna | Rockwell, Geoffrey	2003	Introduction: Reflections on the Ivanhoe Game.	TEXT Technology			0
drucker2004	Drucker, Johanna | Noviskie, Bethany	2004	Speculative Computing: Aesthetic Provocations in Humanities Computing	A Companion to Digital Humanities			0
drucker2005	Drucker, Johanna	2005	Sweet Dreams: Contemporary Art and Complicity				0
drucker2006a	Drucker, Johanna	2006	The Conceptual Framework of Artists' Books Online	Artists’ Books Online			0
drucker2006b	Drucker, Johanna	2006	Artists’ Books Online: An Online Repository of Facsimiles, Metadata, and Criticism				0
drucker2007a	Drucker, Johanna	2007	Performative Metatexts in Metadata, and Markup.	European Journal of English Studies			0
drucker2008	Drucker, Johanna	2008	What is Graphic about Graphic Novels?	English Language Notes.			0
drucker2009b	Drucker, Johanna	2009	Blind Spots: Humanists must plan their digital future	Chronicle of Higher Education			0
drucker2009c	Drucker, Johanna	2009	SpecLab: Digital Aesthetics and Projects in Speculative Computing				0
drucker2009d	Drucker, Johanna	2009	Entity to Event: From Literal, Mechanistic Materiality to Probabilistic Materiality.	Parallax			0
drucker2009f	Drucker, Johanna	2009	Modeling Functionality: From Codex to e-Book	SpecLab: Digital Aesthetics and Projects in Speculative Computing			0
drucker2010	Drucker, J.	2010	Speclab: Digital Aesthetics and Projects in Speculative Computing				0
drucker2011	Drucker, Johanna	2011	Humanities Approaches to Graphical Display	Digital Humanities Quarterly			1
duaine1971	Duaine, Carl L.	1971	Caverns of Oblivion.				0
ducrot1979	Ducrot, O. | Todorov, T.	1979	Encyclopedic Dictionary of the Sciences of Language				0
due2001a	Dué, Casey	2001	Achilles' Golden Amphora in Aeschines' Against Timarchus and the Aftrerlife of Oral Tradition	Classical Philology			0
due2001b	Dué, Casey	2001	Sunt Aliquid Manes: Homer, Plato, and Alexandrian Allusion in Propertius 4.7	Classical Journal			0
due2002	Dué, Casey	2002	Homeric Variations on a Lament by Briseis				0
due2004	Dué, Casey | Ebbott, Mary	2004	As Many Homers As You Please: an On-line Multitext of Homer	Classics@			0
due2006	Dué, Casey	2006	The Invention of Ossian	Classics@			0
duguid1996	Duguid, Paul	1996	Material Matters: The Past and Futurology of the Book	The Future of the Book			0
duguid2009	Duguid, Paul	2009	Inheritance and Loss? A Brief Survey of Google Books	First Monday			0
