Article ID	Pub. Year	Authors	Affiliations	Authors with Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000001	2007	Johanna Drucker	University of Virginia	Johanna Drucker, University of Virginia	Philosophy and Digital Humanities: A review of Willard McCarty, Humanities Computing (London and NY: Palgrave, 2005)	000193	000465	000457	000541	000556	000689	000172	000109	000488	000135	https://dhq.digitalhumanities.org/vol/1/1/000001/000001.html
000002	2007	Jeff Howard	University of Texas, Austin	Jeff Howard, University of Texas, Austin	Interpretative Quests in Theory and Pedagogy	000165	000532	000193	000048	000047	000331	000146	000085	000320	000360	https://dhq.digitalhumanities.org/vol/1/1/000002/000002.html
000003	2007	Drew VandeCreek	Northern Illinois University Libraries	Drew VandeCreek, Northern Illinois University Libraries	"Webs of Significance": The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History	000108	000029	000299	000179	000240	000031	000761	000652	000321	000524	https://dhq.digitalhumanities.org/vol/1/1/000003/000003.html
000004	2007	Linda E. Patrik	Department of Philosophy, Union College	Linda E. Patrik, Department of Philosophy, Union College	Encoding for Endangered Tibetan Texts	000294	000631	000108	000456	000430	000398	000288	000035	000138	000170	https://dhq.digitalhumanities.org/vol/1/1/000004/000004.html
000005	2007	Mark Wolff	Hartwick College	Mark Wolff, Hartwick College	Reading Potential: The Oulipo and the Meaning of Algorithms	000140	000193	000093	000108	000332	000170	000291	000099	000188	000207	https://dhq.digitalhumanities.org/vol/1/1/000005/000005.html
000006	2007	Joseph Raben	Queens College, City University of New York	Joseph Raben, Queens College, City University of New York	Tenure, Promotion and Digital Publication	000077	000114	000007	000081	000554	000079	000008	000471	000645	000334	https://dhq.digitalhumanities.org/vol/1/1/000006/000006.html
000007	2007	Julia Flanders | Wendell Piez | Melissa Terras	Brown University | Mulberry Technologies, Inc. | University College London	Julia Flanders, Brown University; Wendell Piez, Mulberry Technologies, Inc.; Melissa Terras, University College London	Welcome to Digital Humanities Quarterly	000088	000052	000013	000099	000020	000017	000029	000015	000196	000202	https://dhq.digitalhumanities.org/vol/1/1/000007/000007.html
000008	2007	Joseph Raben	Queens College, City University of New York	Joseph Raben, Queens College, City University of New York	Introducing Issues in Humanities Computing	000007	000645	000006	000077	000132	000741	000020	000039	000662	000099	https://dhq.digitalhumanities.org/vol/1/1/000008/000008.html
000009	2007	Dennis G. Jerz	Seton Hill University	Dennis G. Jerz, Seton Hill University	Somewhere Nearby is Colossal Cave: Examining Will Crowther's Original "Adventure" in Code and in Kentucky	000696	000283	000128	000614	000116	000679	000300	000273	000003	000360	https://dhq.digitalhumanities.org/vol/1/2/000009/000009.html
000010	2007	Eric Eve	Harris Manchester College, University of Oxford	Eric Eve, Harris Manchester College, University of Oxford	All Hope Abandon: Biblical Text and Interactive Fiction	000004	000340	000486	000429	000052	000066	000009	000588	000456	000315	https://dhq.digitalhumanities.org/vol/1/2/000010/000010.html
