Title:  Underlying
					Sentiments in 1867: A Study of News Flows on the Execution of Emperor
					Maximilian I of Mexico in Digitized Newspaper Corpora
Volume:  016
Issue:  4
Date:  16 September 2022
Abstract:  
				
				This article focuses on the international news flow regarding the execution of
					Maximilian, the Emperor of Mexico. The execution occurred in June 1867, but it
					received global attention only at the beginning of July when the news started to
					spread over the borders, via telegraph, and rapidly through the network of
					newspapers. The article concentrates on international news on Maximilian's
					execution between 5 and 20 July 1867. The aim of the study is both empirical and
					methodological. It explores the sentiments underlying the news about the
					execution and the regional differences in these sentiments on an empirical
					level. On a methodological level, the article investigates the strategies to
					analyze sentiments via newspaper corpora in a multilingual research setting. The
					study is based on optically recognized historical newspapers in three languages
					(German, Spanish and English), and four regions (Austria, Germany, Mexico, and
					the United States). Our analysis shows content variations in the corpora, mainly
					that news was framed differently in each studied region, indicating that the
					local perception of the event and political interests shaped the news. In our
					corpus, the Mexican press –published in the middle of a political crisis– tended
					towards a neutral stance, the Austrian and German papers mainly were negative,
					and the United States showed mixed sentiments on the incident.
			
Full Body Text: 

			Introduction
			The execution of Maximillian, Emperor of Mexico, by the army of Benito Juarez in
				1867 had international ramifications, and the world became polarized. The press
				around the globe reported it and rallied the population in favor or against the
				event. In this analysis, we explore the underlying sentiments and emotions
				embedded in the texts that circulated inthe press, as a case study of the
				project Oceanic Exchanges, whose aim was to uncover how the international was
				refracted through the local as news, applying text mining methods to a corpus of
				national digitized nineteenth-century newspapers. 
			 Our hypothesis is that regional emotional content variations of news reveal the
				political undertones and biases of information flows. The latter aspect is
				fostered by the fact that the execution of Maximilian was, from the outset, an
				incident that divided opinions.
			To that goal, we put together a corpus that includes digitized newspapers from
				different regions in North America and Europe, encompassing material from the
				actual arena of the execution, Mexico, from the country of Maximilian's
				ancestry, Austria as well as from the US and Germany It should be noted
					that in the 1860s, there was no Germany in the present understanding but
					independent states that formed the German Confederation. In 1867, the New
					German Confederation was born under the Prussian leadership, excluding
					Bavaria, Württemberg, Baden, and Hesse-Darmstadt (that joined the
					Confederation again in 1870). Austria, in turn, was a multilingual,
					multiethnic empire that reached many present-day areas, for example,
					Northern Italy, Slovenia, and Romania. We have used the expressions
					'German' and 'Austrian region' to cover German-language papers from these
					areas.  that covered the news abundantly .
				After dividing the corpus into geographical regions, we use quantitative methods
				–word frequency distributions and named entity recognition (NER)–to first look
				at the corpus. Then, using qualitative content analysis, we narrowed the
				information to compare the different regions. Finally, using automated sentiment
				analysis tools, we were able to compare the automatic analysis to the human one,
				showing a similar and clear sentimental trend in both methods depending on the
				geographical region: the Austrian/German press had a negative bias, while the
				Mexican newspapers showed a more positive picture, and the US showed mixed
				sentiments. 
			The case of Maximilian is particularly illuminating from the perspective of global
				news flows since it happened soon after the inauguration of the transatlantic
				cable in a country that was fighting a civil war between liberals and
				conservatives. The execution news tells a story of control and manipulation over
				the flow of news and, at the same time, a story that could be wired and rapidly
				forwarded over the Atlantic.

			Historical background
			In 1860, Mexico was broken. The War of Independence (1810) bankrupted the country
				and fuelled endless confrontations between liberals and conservatives, who came
				and went in the presidency during the century. 
			Benito Juarez's introduction of the Reform Laws between 1855 and 1859 separated
				the Church from the State, suppressed military and religious tribunals, declared
				the nationalization of church properties, and introduced free press and civil
				registration, deepening the struggle between these political groups. In 1861,
				Benito Juárez, a liberal, was reelected to the presidency. With minimal
				financial resources, he decided to suspend the payment of debts and interests to
				Britain, Spain, and France.
			According to Josefina Zoraida Vázquez (2007), monarchists and conservatives living
				in Europe took advantage of this decision and proposed to Napoleon III the
				establishment of a Mexican monarchy. The idea that an Emperor could put an end
				to the turmoil was extensive among Mexican liberals and conservatives, as Duncan
				(1996) has pointed out, and with that support, the emperor of France saw the
				opportunity to extend his influence over America and stop the growing power of
				the United States. 
			On October 31, 1861, summoned by France, the three countries signed a treaty to
				block Mexico's ports on the Gulf of Mexico to pressure payment of the debt.
				After negotiations, Britain and Spain accepted new terms, but France refused and
				decided to invade Mexico. 
			After a year of confrontations, the invaders took the capital. Juárez's government
				was exiled but continued a guerrilla-style confrontation all over the country.
				Two years later, on April 10, 1864, Maximilian of Habsburg –brother of the
				Austrian emperor Franz Joseph I and married to Charlotte of Belgium, daughter of
				King Leopold–, accepted the Mexican throne and traveled to the country.
			In the last months of 1865, circumstances changed. The end of the Civil War in the
				United States opened the doors to new credits to Juárez, which helped fortify
				his army. At the same time, the French army abandoned Mexico, and the Maximilian
				government went bankrupt and started losing battles and territory.
			In May 1867, Maximilian was captured –along with commanders Miguel Miramón and
				Tomás Mejía– by the Republican Army Commanded by Mariano Escobedo in the City of
				Querétaro in central México. Juárez and his Foreign Affairs secretary, Sebastian
				Lerdo de Tejada, resisted international pressure to exile Maximilian back to
				Europe in the following month. After a short trial, on June 19, 1867, Maximilian
				was executed at the Cerro de las Campanas, Querétaro, along with the last
				remaining commanders of the conservative army (Vanderwood 2010, 367-8). This
				execution resulted in an abundant flow of news analyzed in this article. 

			Corpora description 
			Our corpus For a complete access to our corpus as a CVS file see https://zenodo.org/record/3451482 .
					All newspaper titles, dates, news items and cities can be consulted
					there. was obtained by searching Maximilian and Death in
				digitized European, Mexican, and United States newspaper collections (on the
				nature of these collections, see ). The US papers
				originated from Chronicling America, maintained by the Library of Congress, the
				Mexican papers from Hemeroteca Nacional Digital de México. For the
				German-language press, we drew on the Europeana dataset, which includes
				newspapers from Germany (Bayerische Staatsbibliothek, Hamburg State Library and
				Teßmann Library) and Austria (Österreichische Nationalbibliothek). In order to
				work with the German-language corpus, we automatically extracted the newspapers'
				publication city and further divided the corpus into two regional categories:
				German and Austrian, resulting in a final corpus of 1,382 news stories published
				between the 5th and 20th of July 1867. Although Maximilian's execution took
				place two weeks earlier, on June 19, 1867, the news did not break until later
				because of the control of the Juarez's army over the telegram around Queretaro
				and the flow of the news from there . 
			Neither the size of the corpora nor the OCR (Optical Character Recognition)
				quality was the same for all subcorpora. Cultural, political, and economic
				differences in each region affected the number of newspapers circulating. Mexico
				was going through a political crisis, and there was much control over the press.
				On the contrary, the United States had a lot of local newspapers. These
				differences result in an imbalance in news coverage, and therefore in the
				regional corpora. The US news occupies as much as 53.1% of the news coverage in
				the whole dataset. The proportion of the Austrian subcorpus is 12.6%, the German
				one 32.5 % and the Mexican one only 1.8 %.
			In addition to the imbalance of digitized contents, another common obstacle is the
				quality of the original OCR from each newspaper library (on the problem of OCR
				noise, see ). Each nation establishes its
				newspaper digitization methodology, determining the quality and how and what can
				be extracted from each source. The OCR processes have been different, including
				the scanning practices and OCR software and the quality of the original
				newspapers, the objects of scanning. In most cases, the scanning has been done
				from microfilm, not from paper, and the original typeset, characters, and font
				sizes cause variation in the quality of OCR.
			As a part of the Oceanic Exchanges Project, we decided to work with the OCR from
				each library without cleaning it. According to Beals and Bell (2020), the
				Oceanic Exchanges corpus OCR quality ranges between 60-85%, but it varies within
				each country's corpora. Nonetheless, as Ryan Cordell pointed out, methods such
				as text mining rely not on the nineteenth-century newspapers themselves, but on
				those newspapers as a remediated by mass digitization, a phrase that shorthands
				elaborate systems of scholarship, preservation, bureaucracy, human labor,
				machine processes, and economics . 
			However, following this path, we faced two challenges: one practical and one
				human. The practical challenge was that the US and Mexican subcorpora had poor
				OCR quality compared to the Austrian and German. The human challenge was that as
				an international team, participants from different countries have different
				scholarship cultures. The Mexican team, for example, was not familiar with
				working with dirty OCR and, because the corpus was not large, decided to
				transcribe all of their news items.
			We decided to work with the Mexican corpus as it was prepared by the Mexican team,
				respecting its work and effort. In the case of the US subcorpus, the automatic
				extraction included everything on the page, and there were no breaks between
				news stories and columns –like in the German and Austrian corpus. The raw data
				included the news item about Maximilian's death and any other news stories on
				the page, making it hard to work with. Since there were thousands of hits, we
				narrowed the information down through an automated process, i.e, filtering
				chunks of surrounding text (windows of words to the right and to the left) were
				Maximilian is mentioned. This eliminated most of the unwanted information,
				although it was a superficial strategy prone to some noise. As we assume
				newspapers are remediated by mass digitization, we also assume that our corpus
				expresses how digital humanities are produced in global teams that must manage
				cultural and technological differences. Finally, Table 1 shows the size of the
				text corpora (in terms of number of words) that we used for our analysis.
			
				Corpora size
				
					Corpus
					Tokens
					Types (unique words)
				
				
					Austria (German)
					154012
					25590
				
				
					Germany (German)
					68763
					14495
				
				
					Mexico (Spanish)
					20673
					4022
				
				
					US (English)
					273115
					33773
				
			 
			

			Methodology 
			We employed several methodologies to study the sentiments and emotions in news
				stories that circulated in the press after the execution of Maximilian I, the
				Mexican emperor. First, we used existing digital tools that draw on NLP, a
				multidisciplinary field aiming to automatically process large amounts of natural
				language data, and we performed qualitative analysis of the automatically
				extracted named entities (discussed below). After this process, we analyzed the
				emotional contents of the corpora by drawing on such automatic NLP tools. In
				recent years, sentiment analysis has been applied to extensive collections of
				news, online product reviews, and other types of corpora. However, little
				attention has been paid to historical news documents .
				Few works have applied sentiment analysis to drama plays, literary texts, and
				other types of historical sources   .
			In our case, we used automatic tools based on machine learning techniques to
				detect named entities and estimate a text's polarity. Thus, these systems are
				not based on explicit rules for each language; instead, they rely on statistical
				methods trained in large amounts of data. Particularly, we used Google Cloud 
				Natural Language API,
				Python programming and the NLTK toolkit to
				pre-process the documents and extract information. 
			Our initial point of departure was to extract general statistics to explore the
				word frequency distributions in each subcorpus. This provided a general overview
				of the relevant terms in each region. It is essential to mention that the
				corpora were pre-processed, i.e., we tokenized it and filtered the stopwords
				that do not carry semantic content (prepositions, determiners, conjunctions,
				function words). We then used Named Entity Recognition (NER), Natural Language
				Processing (NLP) technology that automatically identifies words (or sequence of
				words) that belong to specific categories, i.e., abstract or physical entities
				denote proper names. Previously, these tools have been used to analyze
				nineteenth-century newspapers, but never in tandem to study news stories'
				underlying sentiments and emotions. For example, some international projects are
				using NLP to study big data corpora, as well as developing analytical and
				visualization tools, like the Media Monitoring of the Past (2020) and the
				NewsEye (2020) projects, as well as Gale's Digital Scholar Lab (2020), which
				offers several NLP tools for researchers.
			There is a growing body of knowledge about the use of Named Entity Recognition
				(NER) to analyze newspaper collections   . Likewise, there is an interest in
				identifying and making more robust computerized tools for historical newspapers
				analysis  .
			There are several approaches for performing NER tasks. In our case, we
				automatically identified the following entities in the documents: person,
				location, organization, event, consumer good, and others (using Google Cloud
				Natural Language API). We extracted named entities from the subcorpora of
				Austria, Mexico, Germany, USA. Once we automatically identified named entities
				for each subcorpus, we performed a manual selection of entities. This selection
				was based on three criteria: 1) frequency of the entity, 2) the entity appears
				in at least two regions, 3) it has historical significance –understood as it
				references an important event, person, location, or organization in the shooting
				of Maximilian. 
			We identified the reduced set as "entities of interest." It was helpful to make a
				contrastive analysis across subcorpora, i.e., the different approaches to
				specific events, persons, locations, or organizations., depending on the
				country.
